xmin,ymin,xmax,ymax,name,file,width,height,class,Xcent,Ycent,boxW,boxH
101,69,120,87,without_mask,maksssksksss296,400,226,2,0.27625,0.34513274336283184,0.0475,0.07964601769911504
114,51,132,70,with_mask,maksssksksss296,400,226,0,0.3075,0.2676991150442478,0.045,0.084070796460177
84,34,105,56,without_mask,maksssksksss296,400,226,2,0.23625,0.19911504424778761,0.0525,0.09734513274336283
42,125,62,158,with_mask,maksssksksss296,400,226,0,0.13,0.6261061946902655,0.05,0.14601769911504425
63,138,93,171,without_mask,maksssksksss296,400,226,2,0.195,0.6836283185840708,0.075,0.14601769911504425
91,162,121,197,without_mask,maksssksksss296,400,226,2,0.265,0.7942477876106194,0.075,0.15486725663716813
129,176,168,218,with_mask,maksssksksss296,400,226,0,0.37125,0.8716814159292036,0.0975,0.18584070796460178
136,102,162,131,with_mask,maksssksksss296,400,226,0,0.3725,0.5154867256637168,0.065,0.12831858407079647
136,69,161,89,with_mask,maksssksksss296,400,226,0,0.37125,0.3495575221238938,0.0625,0.08849557522123894
140,33,155,48,without_mask,maksssksksss296,400,226,2,0.36875,0.17920353982300885,0.0375,0.06637168141592921
177,32,194,54,with_mask,maksssksksss296,400,226,0,0.46375,0.1902654867256637,0.0425,0.09734513274336283
172,46,184,65,with_mask,maksssksksss296,400,226,0,0.445,0.24557522123893805,0.03,0.084070796460177
196,33,213,52,with_mask,maksssksksss296,400,226,0,0.51125,0.18805309734513273,0.0425,0.084070796460177
221,22,237,40,without_mask,maksssksksss296,400,226,2,0.5725,0.13716814159292035,0.04,0.07964601769911504
236,35,261,60,without_mask,maksssksksss296,400,226,2,0.62125,0.21017699115044247,0.0625,0.11061946902654868
175,90,197,114,with_mask,maksssksksss296,400,226,0,0.465,0.45132743362831856,0.055,0.10619469026548672
170,130,196,153,with_mask,maksssksksss296,400,226,0,0.4575,0.6261061946902655,0.065,0.10176991150442478
213,101,238,130,with_mask,maksssksksss296,400,226,0,0.56375,0.5110619469026548,0.0625,0.12831858407079647
185,169,202,193,without_mask,maksssksksss296,400,226,2,0.48375,0.8008849557522124,0.0425,0.10619469026548672
165,172,182,207,without_mask,maksssksksss296,400,226,2,0.43375,0.838495575221239,0.0425,0.15486725663716813
229,186,265,223,with_mask,maksssksksss296,400,226,0,0.6175,0.9048672566371682,0.09,0.16371681415929204
244,113,272,141,with_mask,maksssksksss296,400,226,0,0.645,0.5619469026548672,0.07,0.12389380530973451
271,161,292,195,with_mask,maksssksksss296,400,226,0,0.70375,0.7876106194690266,0.0525,0.1504424778761062
262,82,282,103,with_mask,maksssksksss296,400,226,0,0.68,0.4092920353982301,0.05,0.09292035398230089
292,107,315,132,with_mask,maksssksksss296,400,226,0,0.75875,0.5287610619469026,0.0575,0.11061946902654868
262,18,282,38,without_mask,maksssksksss296,400,226,2,0.68,0.12389380530973451,0.05,0.08849557522123894
263,48,279,62,without_mask,maksssksksss296,400,226,2,0.6775,0.24336283185840707,0.04,0.061946902654867256
282,26,300,43,without_mask,maksssksksss296,400,226,2,0.7275,0.15265486725663716,0.045,0.0752212389380531
321,18,335,36,with_mask,maksssksksss296,400,226,0,0.82,0.11946902654867257,0.035,0.07964601769911504
296,49,314,67,without_mask,maksssksksss296,400,226,2,0.7625,0.25663716814159293,0.045,0.07964601769911504
322,106,350,124,with_mask,maksssksksss296,400,226,0,0.84,0.5088495575221239,0.07,0.07964601769911504
341,154,373,182,without_mask,maksssksksss296,400,226,2,0.8925,0.7433628318584071,0.08,0.12389380530973451
216,40,251,82,with_mask,maksssksksss756,400,267,0,0.58375,0.22846441947565543,0.0875,0.15730337078651685
114,54,151,91,mask_weared_incorrect,maksssksksss756,400,267,1,0.33125,0.27153558052434457,0.0925,0.13857677902621723
24,236,49,262,with_mask,maksssksksss260,400,300,0,0.09125,0.83,0.0625,0.08666666666666667
77,236,100,262,with_mask,maksssksksss260,400,300,0,0.22125,0.83,0.0575,0.08666666666666667
122,245,144,270,with_mask,maksssksksss260,400,300,0,0.3325,0.8583333333333333,0.055,0.08333333333333333
189,258,216,284,with_mask,maksssksksss260,400,300,0,0.50625,0.9033333333333333,0.0675,0.08666666666666667
306,220,331,242,with_mask,maksssksksss260,400,300,0,0.79625,0.77,0.0625,0.07333333333333333
371,244,393,259,with_mask,maksssksksss260,400,300,0,0.955,0.8383333333333334,0.055,0.05
255,187,278,210,with_mask,maksssksksss260,400,300,0,0.66625,0.6616666666666666,0.0575,0.07666666666666666
331,144,350,162,with_mask,maksssksksss260,400,300,0,0.85125,0.51,0.0475,0.06
386,162,399,181,with_mask,maksssksksss260,400,300,0,0.98125,0.5716666666666667,0.0325,0.06333333333333334
281,144,296,160,with_mask,maksssksksss260,400,300,0,0.72125,0.5066666666666667,0.0375,0.05333333333333334
207,194,229,215,with_mask,maksssksksss260,400,300,0,0.545,0.6816666666666666,0.055,0.07
153,184,175,205,with_mask,maksssksksss260,400,300,0,0.41,0.6483333333333333,0.055,0.07
85,166,97,189,with_mask,maksssksksss260,400,300,0,0.2275,0.5916666666666667,0.03,0.07666666666666666
65,161,87,185,with_mask,maksssksksss260,400,300,0,0.19,0.5766666666666667,0.055,0.08
39,161,59,183,with_mask,maksssksksss260,400,300,0,0.1225,0.5733333333333334,0.05,0.07333333333333333
1,153,11,175,with_mask,maksssksksss260,400,300,0,0.015,0.5466666666666666,0.025,0.07333333333333333
1,112,17,125,with_mask,maksssksksss260,400,300,0,0.0225,0.395,0.04,0.043333333333333335
44,109,62,127,with_mask,maksssksksss260,400,300,0,0.1325,0.3933333333333333,0.045,0.06
98,121,114,138,with_mask,maksssksksss260,400,300,0,0.265,0.43166666666666664,0.04,0.056666666666666664
129,118,147,136,with_mask,maksssksksss260,400,300,0,0.345,0.42333333333333334,0.045,0.06
178,136,199,154,with_mask,maksssksksss260,400,300,0,0.47125,0.48333333333333334,0.0525,0.06
219,140,239,158,with_mask,maksssksksss260,400,300,0,0.5725,0.49666666666666665,0.05,0.06
378,98,395,116,with_mask,maksssksksss260,400,300,0,0.96625,0.3566666666666667,0.0425,0.06
321,87,332,105,with_mask,maksssksksss260,400,300,0,0.81625,0.32,0.0275,0.06
282,83,298,102,with_mask,maksssksksss260,400,300,0,0.725,0.30833333333333335,0.04,0.06333333333333334
252,85,270,99,with_mask,maksssksksss260,400,300,0,0.6525,0.30666666666666664,0.045,0.04666666666666667
208,67,224,85,with_mask,maksssksksss260,400,300,0,0.54,0.25333333333333335,0.04,0.06
187,69,201,87,with_mask,maksssksksss260,400,300,0,0.485,0.26,0.035,0.06
143,56,157,74,with_mask,maksssksksss260,400,300,0,0.375,0.21666666666666667,0.035,0.06
111,62,124,78,with_mask,maksssksksss260,400,300,0,0.29375,0.23333333333333334,0.0325,0.05333333333333334
66,54,79,70,with_mask,maksssksksss260,400,300,0,0.18125,0.20666666666666667,0.0325,0.05333333333333334
27,52,43,71,with_mask,maksssksksss260,400,300,0,0.0875,0.205,0.04,0.06333333333333334
1,50,16,67,with_mask,maksssksksss260,400,300,0,0.02125,0.195,0.0375,0.056666666666666664
2,23,14,37,with_mask,maksssksksss260,400,300,0,0.02,0.1,0.03,0.04666666666666667
43,25,52,39,with_mask,maksssksksss260,400,300,0,0.11875,0.10666666666666667,0.0225,0.04666666666666667
77,35,90,51,with_mask,maksssksksss260,400,300,0,0.20875,0.14333333333333334,0.0325,0.05333333333333334
128,36,140,53,with_mask,maksssksksss260,400,300,0,0.335,0.14833333333333334,0.03,0.056666666666666664
189,28,200,45,with_mask,maksssksksss260,400,300,0,0.48625,0.12166666666666667,0.0275,0.056666666666666664
223,37,237,55,with_mask,maksssksksss260,400,300,0,0.575,0.15333333333333332,0.035,0.06
272,46,286,64,with_mask,maksssksksss260,400,300,0,0.6975,0.18333333333333332,0.035,0.06
308,39,324,58,with_mask,maksssksksss260,400,300,0,0.79,0.16166666666666665,0.04,0.06333333333333334
354,50,368,67,with_mask,maksssksksss260,400,300,0,0.9025,0.195,0.035,0.056666666666666664
390,55,400,73,with_mask,maksssksksss260,400,300,0,0.9875,0.21333333333333335,0.025,0.06
321,12,333,26,with_mask,maksssksksss260,400,300,0,0.8175,0.06333333333333334,0.03,0.04666666666666667
290,14,304,29,with_mask,maksssksksss260,400,300,0,0.7425,0.07166666666666667,0.035,0.05
251,11,264,28,with_mask,maksssksksss260,400,300,0,0.64375,0.065,0.0325,0.056666666666666664
235,1,245,13,with_mask,maksssksksss260,400,300,0,0.6,0.023333333333333334,0.025,0.04
200,11,213,25,with_mask,maksssksksss260,400,300,0,0.51625,0.06,0.0325,0.04666666666666667
173,13,186,25,with_mask,maksssksksss260,400,300,0,0.44875,0.06333333333333334,0.0325,0.04
146,8,159,22,with_mask,maksssksksss260,400,300,0,0.38125,0.05,0.0325,0.04666666666666667
110,3,125,17,with_mask,maksssksksss260,400,300,0,0.29375,0.03333333333333333,0.0375,0.04666666666666667
66,11,76,22,with_mask,maksssksksss260,400,300,0,0.1775,0.055,0.025,0.03666666666666667
40,1,50,15,with_mask,maksssksksss260,400,300,0,0.1125,0.02666666666666667,0.025,0.04666666666666667
101,251,162,355,with_mask,maksssksksss57,301,400,0,0.4368770764119601,0.7575,0.2026578073089701,0.26
214,112,298,200,with_mask,maksssksksss224,400,400,0,0.64,0.39,0.21,0.22
227,43,252,76,with_mask,maksssksksss769,400,225,0,0.59875,0.2644444444444444,0.0625,0.14666666666666667
281,132,308,156,with_mask,maksssksksss769,400,225,0,0.73625,0.64,0.0675,0.10666666666666667
37,50,63,78,without_mask,maksssksksss209,400,210,2,0.125,0.3047619047619048,0.065,0.13333333333333333
63,79,88,101,without_mask,maksssksksss209,400,210,2,0.18875,0.42857142857142855,0.0625,0.10476190476190476
64,112,91,141,without_mask,maksssksksss209,400,210,2,0.19375,0.6023809523809524,0.0675,0.1380952380952381
88,44,112,72,without_mask,maksssksksss209,400,210,2,0.25,0.2761904761904762,0.06,0.13333333333333333
120,99,150,133,without_mask,maksssksksss209,400,210,2,0.3375,0.5523809523809524,0.075,0.1619047619047619
161,102,197,143,with_mask,maksssksksss209,400,210,0,0.4475,0.5833333333333334,0.09,0.19523809523809524
206,51,228,79,without_mask,maksssksksss209,400,210,2,0.5425,0.30952380952380953,0.055,0.13333333333333333
227,124,260,157,without_mask,maksssksksss209,400,210,2,0.60875,0.669047619047619,0.0825,0.15714285714285714
236,91,262,119,without_mask,maksssksksss209,400,210,2,0.6225,0.5,0.065,0.13333333333333333
338,116,370,155,with_mask,maksssksksss209,400,210,0,0.885,0.6452380952380953,0.08,0.18571428571428572
374,63,396,88,without_mask,maksssksksss209,400,210,2,0.9625,0.3595238095238095,0.055,0.11904761904761904
267,22,289,44,without_mask,maksssksksss209,400,210,2,0.695,0.15714285714285714,0.055,0.10476190476190476
344,35,361,52,without_mask,maksssksksss209,400,210,2,0.88125,0.20714285714285716,0.0425,0.08095238095238096
183,49,205,69,without_mask,maksssksksss209,400,210,2,0.485,0.28095238095238095,0.055,0.09523809523809523
92,19,117,50,with_mask,maksssksksss134,400,225,0,0.26125,0.15333333333333332,0.0625,0.13777777777777778
156,22,177,48,without_mask,maksssksksss134,400,225,2,0.41625,0.15555555555555556,0.0525,0.11555555555555555
179,24,197,47,with_mask,maksssksksss134,400,225,0,0.47,0.15777777777777777,0.045,0.10222222222222223
183,74,205,100,with_mask,maksssksksss134,400,225,0,0.485,0.38666666666666666,0.055,0.11555555555555555
269,70,285,89,with_mask,maksssksksss134,400,225,0,0.6925,0.35333333333333333,0.04,0.08444444444444445
343,15,359,34,without_mask,maksssksksss134,400,225,2,0.8775,0.10888888888888888,0.04,0.08444444444444445
302,43,318,59,with_mask,maksssksksss134,400,225,0,0.775,0.22666666666666666,0.04,0.07111111111111111
181,54,273,162,mask_weared_incorrect,maksssksksss99,400,267,1,0.5675,0.4044943820224719,0.23,0.4044943820224719
99,87,176,165,with_mask,maksssksksss99,400,267,0,0.34375,0.47191011235955055,0.1925,0.29213483146067415
289,99,355,233,with_mask,maksssksksss99,400,267,0,0.805,0.6217228464419475,0.165,0.50187265917603
83,250,154,362,with_mask,maksssksksss196,301,400,0,0.39368770764119604,0.765,0.23588039867109634,0.28
116,156,225,302,with_mask,maksssksksss479,301,400,0,0.5664451827242525,0.5725,0.36212624584717606,0.365
5,114,58,178,with_mask,maksssksksss159,400,225,0,0.07875,0.6488888888888888,0.1325,0.28444444444444444
125,82,136,95,with_mask,maksssksksss159,400,225,0,0.32625,0.3933333333333333,0.0275,0.057777777777777775
157,82,170,99,with_mask,maksssksksss159,400,225,0,0.40875,0.4022222222222222,0.0325,0.07555555555555556
213,65,225,79,with_mask,maksssksksss159,400,225,0,0.5475,0.32,0.03,0.06222222222222222
51,89,57,96,with_mask,maksssksksss159,400,225,0,0.135,0.4111111111111111,0.015,0.03111111111111111
175,80,180,86,with_mask,maksssksksss159,400,225,0,0.44375,0.3688888888888889,0.0125,0.02666666666666667
193,79,200,87,with_mask,maksssksksss159,400,225,0,0.49125,0.3688888888888889,0.0175,0.035555555555555556
253,75,261,80,with_mask,maksssksksss159,400,225,0,0.6425,0.34444444444444444,0.02,0.022222222222222223
276,75,288,87,with_mask,maksssksksss159,400,225,0,0.705,0.36,0.03,0.05333333333333334
326,32,395,105,with_mask,maksssksksss159,400,225,0,0.90125,0.30444444444444446,0.1725,0.3244444444444444
290,66,296,74,without_mask,maksssksksss159,400,225,2,0.7325,0.3111111111111111,0.015,0.035555555555555556
85,86,89,95,with_mask,maksssksksss159,400,225,0,0.2175,0.4022222222222222,0.01,0.04
7,52,24,72,without_mask,maksssksksss460,400,267,2,0.03875,0.23220973782771537,0.0425,0.0749063670411985
26,58,53,94,with_mask,maksssksksss460,400,267,0,0.09875,0.2846441947565543,0.0675,0.1348314606741573
58,69,70,80,with_mask,maksssksksss460,400,267,0,0.16,0.27902621722846443,0.03,0.04119850187265917
111,50,133,76,with_mask,maksssksksss460,400,267,0,0.305,0.23595505617977527,0.055,0.09737827715355805
134,63,148,82,with_mask,maksssksksss460,400,267,0,0.3525,0.27153558052434457,0.035,0.07116104868913857
206,69,221,88,with_mask,maksssksksss460,400,267,0,0.53375,0.2940074906367041,0.0375,0.07116104868913857
226,56,241,76,without_mask,maksssksksss460,400,267,2,0.58375,0.24719101123595505,0.0375,0.0749063670411985
243,75,260,95,with_mask,maksssksksss460,400,267,0,0.62875,0.31835205992509363,0.0425,0.0749063670411985
307,80,328,104,with_mask,maksssksksss460,400,267,0,0.79375,0.3445692883895131,0.0525,0.0898876404494382
155,91,166,101,without_mask,maksssksksss460,400,267,2,0.40125,0.3595505617977528,0.0275,0.03745318352059925
375,58,383,66,with_mask,maksssksksss460,400,267,0,0.9475,0.23220973782771537,0.02,0.0299625468164794
278,58,288,70,with_mask,maksssksksss460,400,267,0,0.7075,0.2397003745318352,0.025,0.0449438202247191
139,94,198,147,with_mask,maksssksksss852,267,400,0,0.6310861423220974,0.30125,0.2209737827715356,0.1325
92,86,132,125,without_mask,maksssksksss852,267,400,2,0.41947565543071164,0.26375,0.149812734082397,0.0975
49,183,139,294,with_mask,maksssksksss709,301,400,0,0.3122923588039867,0.59625,0.29900332225913623,0.2775
104,138,218,276,with_mask,maksssksksss675,301,400,0,0.5348837209302325,0.5175,0.3787375415282392,0.345
319,128,486,307,mask_weared_incorrect,maksssksksss525,600,399,1,0.6708333333333333,0.5451127819548872,0.2783333333333333,0.44862155388471175
84,54,199,167,with_mask,maksssksksss85,267,400,0,0.5299625468164794,0.27625,0.4307116104868914,0.2825
322,257,368,346,with_mask,maksssksksss323,400,376,0,0.8625,0.8018617021276596,0.115,0.23670212765957446
11,48,41,75,without_mask,maksssksksss121,400,300,2,0.065,0.205,0.075,0.09
91,41,121,72,without_mask,maksssksksss121,400,300,2,0.265,0.18833333333333332,0.075,0.10333333333333333
176,56,204,83,without_mask,maksssksksss121,400,300,2,0.475,0.23166666666666666,0.07,0.09
239,56,266,81,without_mask,maksssksksss121,400,300,2,0.63125,0.22833333333333333,0.0675,0.08333333333333333
301,62,329,87,without_mask,maksssksksss121,400,300,2,0.7875,0.24833333333333332,0.07,0.08333333333333333
343,74,368,97,without_mask,maksssksksss121,400,300,2,0.88875,0.285,0.0625,0.07666666666666666
387,82,400,107,without_mask,maksssksksss121,400,300,2,0.98375,0.315,0.0325,0.08333333333333333
80,40,90,50,with_mask,maksssksksss344,400,226,0,0.2125,0.19911504424778761,0.025,0.04424778761061947
96,14,110,27,with_mask,maksssksksss344,400,226,0,0.2575,0.09070796460176991,0.035,0.05752212389380531
236,25,261,50,with_mask,maksssksksss344,400,226,0,0.62125,0.16592920353982302,0.0625,0.11061946902654868
318,94,342,115,with_mask,maksssksksss344,400,226,0,0.825,0.46238938053097345,0.06,0.09292035398230089
14,95,45,131,with_mask,maksssksksss788,512,340,0,0.0576171875,0.3323529411764706,0.060546875,0.10588235294117647
116,93,147,126,with_mask,maksssksksss788,512,340,0,0.2568359375,0.3220588235294118,0.060546875,0.09705882352941177
210,105,241,137,with_mask,maksssksksss788,512,340,0,0.4404296875,0.3558823529411765,0.060546875,0.09411764705882353
307,92,332,123,with_mask,maksssksksss788,512,340,0,0.6240234375,0.3161764705882353,0.048828125,0.09117647058823529
388,87,418,121,with_mask,maksssksksss788,512,340,0,0.787109375,0.3058823529411765,0.05859375,0.1
36,9,60,29,with_mask,maksssksksss802,400,267,0,0.12,0.07116104868913857,0.06,0.0749063670411985
133,35,153,56,with_mask,maksssksksss802,400,267,0,0.3575,0.1704119850187266,0.05,0.07865168539325842
180,71,202,94,with_mask,maksssksksss802,400,267,0,0.4775,0.3089887640449438,0.055,0.08614232209737828
312,76,344,109,with_mask,maksssksksss802,400,267,0,0.82,0.3464419475655431,0.08,0.12359550561797752
4,202,30,230,with_mask,maksssksksss623,400,245,0,0.0425,0.8816326530612245,0.065,0.11428571428571428
38,179,64,206,with_mask,maksssksksss623,400,245,0,0.1275,0.7857142857142857,0.065,0.11020408163265306
57,164,78,187,mask_weared_incorrect,maksssksksss623,400,245,1,0.16875,0.7163265306122449,0.0525,0.09387755102040816
30,109,47,126,without_mask,maksssksksss623,400,245,2,0.09625,0.47959183673469385,0.0425,0.06938775510204082
26,76,42,98,with_mask,maksssksksss623,400,245,0,0.085,0.3551020408163265,0.04,0.08979591836734693
4,70,18,88,with_mask,maksssksksss623,400,245,0,0.0275,0.3224489795918367,0.035,0.07346938775510205
23,2,43,22,without_mask,maksssksksss623,400,245,2,0.0825,0.04897959183673469,0.05,0.08163265306122448
109,9,130,29,with_mask,maksssksksss623,400,245,0,0.29875,0.07755102040816327,0.0525,0.08163265306122448
93,58,115,75,with_mask,maksssksksss623,400,245,0,0.26,0.2714285714285714,0.055,0.06938775510204082
97,111,115,133,with_mask,maksssksksss623,400,245,0,0.265,0.49795918367346936,0.045,0.08979591836734693
136,214,164,240,with_mask,maksssksksss623,400,245,0,0.375,0.926530612244898,0.07,0.10612244897959183
195,173,220,193,with_mask,maksssksksss623,400,245,0,0.51875,0.746938775510204,0.0625,0.08163265306122448
212,190,241,215,with_mask,maksssksksss623,400,245,0,0.56625,0.826530612244898,0.0725,0.10204081632653061
188,94,211,117,with_mask,maksssksksss623,400,245,0,0.49875,0.4306122448979592,0.0575,0.09387755102040816
181,58,206,79,with_mask,maksssksksss623,400,245,0,0.48375,0.2795918367346939,0.0625,0.08571428571428572
185,28,208,46,with_mask,maksssksksss623,400,245,0,0.49125,0.1510204081632653,0.0575,0.07346938775510205
247,111,266,131,with_mask,maksssksksss623,400,245,0,0.64125,0.49387755102040815,0.0475,0.08163265306122448
254,56,275,78,with_mask,maksssksksss623,400,245,0,0.66125,0.27346938775510204,0.0525,0.08979591836734693
287,55,310,78,with_mask,maksssksksss623,400,245,0,0.74625,0.2714285714285714,0.0575,0.09387755102040816
359,149,387,167,with_mask,maksssksksss623,400,245,0,0.9325,0.6448979591836734,0.07,0.07346938775510205
345,75,369,95,with_mask,maksssksksss623,400,245,0,0.8925,0.3469387755102041,0.06,0.08163265306122448
320,41,338,59,with_mask,maksssksksss623,400,245,0,0.8225,0.20408163265306123,0.045,0.07346938775510205
319,15,337,30,with_mask,maksssksksss623,400,245,0,0.82,0.09183673469387756,0.045,0.061224489795918366
61,117,167,222,with_mask,maksssksksss362,400,275,0,0.285,0.6163636363636363,0.265,0.38181818181818183
175,127,258,214,with_mask,maksssksksss362,400,275,0,0.54125,0.62,0.2075,0.31636363636363635
258,90,338,180,with_mask,maksssksksss362,400,275,0,0.745,0.4909090909090909,0.2,0.32727272727272727
62,165,182,315,with_mask,maksssksksss493,301,400,0,0.4053156146179402,0.6,0.39867109634551495,0.375
219,35,263,85,with_mask,maksssksksss357,400,235,0,0.6025,0.2553191489361702,0.11,0.2127659574468085
89,177,212,333,with_mask,maksssksksss271,301,400,0,0.5,0.6375,0.40863787375415284,0.39
131,86,259,216,with_mask,maksssksksss63,400,226,0,0.4875,0.668141592920354,0.32,0.5752212389380531
15,79,42,105,with_mask,maksssksksss776,400,267,0,0.07125,0.3445692883895131,0.0675,0.09737827715355805
288,88,317,127,with_mask,maksssksksss776,400,267,0,0.75625,0.40262172284644193,0.0725,0.14606741573033707
5,134,73,206,with_mask,maksssksksss558,400,226,0,0.0975,0.7522123893805309,0.17,0.3185840707964602
85,118,126,161,with_mask,maksssksksss558,400,226,0,0.26375,0.6172566371681416,0.1025,0.1902654867256637
108,74,134,98,without_mask,maksssksksss558,400,226,2,0.3025,0.3805309734513274,0.065,0.10619469026548672
148,100,182,133,with_mask,maksssksksss558,400,226,0,0.4125,0.5154867256637168,0.085,0.14601769911504425
184,67,198,94,without_mask,maksssksksss558,400,226,2,0.4775,0.3561946902654867,0.035,0.11946902654867257
